Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,BCIConfidence,InputNumber,BCIThresholdBuffer,TrialGoal
InputWindowChange,2021-08-17 12:58:47.9960,17843,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Open,10,0.0000,0.4238,Running,3.8136,30,0.0000,0,0.0000,0,0.3333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-17 12:58:53.1566,18052,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7892,12,(0.823 0.787 0.778 0.780 0.789 0.753 0.811 0.799 ),NULL
Rest,2021-08-17 12:58:53.1833,18053,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7813,12,(0.823 0.787 0.778 0.780 0.789 0.753 0.811 0.799 ),NULL
InputWindowChange,2021-08-17 12:59:08.1686,18655,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Open,10,0.0000,5.5872,Running,4.4444,30,0.0000,0,0.0000,0,0.3333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:59:08.5961,18671,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Closed,10,0.0120,0.0000,Running,4.4444,30,0.0000,0,0.0000,0,0.3333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:59:08.6024,18671,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Closed,10,0.0120,0.0000,Running,4.4444,30,0.0000,0,0.0000,0,0.3667,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
InputWindowChange,2021-08-17 12:59:23.5887,19334,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Open,11,0.0000,0.0000,Running,4.4859,30,0.0000,0,0.0000,0,0.3667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-17 12:59:25.8391,19436,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7439,13,(0.744 0.758 0.791 0.786 0.781 0.784 0.771 0.755 ),NULL
Rest,2021-08-17 12:59:25.8591,19437,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7334,13,(0.744 0.758 0.791 0.786 0.781 0.784 0.771 0.755 ),NULL
InputWindowChange,2021-08-17 12:59:40.8558,20111,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Open,11,0.0000,2.2430,Running,4.6276,30,0.0000,0,0.0000,0,0.3667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
